scsetup,scsetup_mdb_445_in_tcp,mdb,445,allow,in,tcp
scsetup,scsetup_sdb_445_in_tcp,sdb,445,allow,in,tcp
scsetup,scsetup_mvl_445_in_tcp,mvl,445,allow,in,tcp
scsetup,scsetup_tti_445_in_tcp,tti,445,allow,in,tcp
sqlserver,sqlserver_mdb_445_in_tcp,mdb,445,allow,in,tcp
sqlserver,sqlserver_mdb_1433_in_tcp,mdb,1433,allow,in,tcp
sqlserver,sqlserver_mdb_1434_in_tcp,mdb,1434,allow,in,tcp
sqlserver,sqlserver_mdb_1433_out_tcp,mdb,1433,allow,out,tcp
sqlserver,sqlserver_mdb_1434_out_tcp,mdb,1434,allow,out,tcp
sqlserver,sqlserver_sdb_445_in_tcp,sdb,445,allow,in,tcp
sqlserver,sqlserver_sdb_1433_in_tcp,sdb,1433,allow,in,tcp
sqlserver,sqlserver_sdb_1434_in_tcp,sdb,1434,allow,in,tcp
sqlserver,sqlserver_sdb_1433_out_tcp,sdb,1433,allow,out,tcp
sqlserver,sqlserver_sdb_1434_out_tcp,sdb,1434,allow,out,tcp
schedule,schedule_ss_41862_in_tcp,ss,41862,allow,in,tcp
schedule,schedule_ss_4009_in_tcp,ss,4009,allow,in,tcp
schedule,schedule_ss_4010_in_tcp,ss,4010,allow,in,tcp
schedule,schedule_ss_445_in_tcp,ss,445,allow,in,tcp
schedule,schedule_ss_1433_out_tcp,ss,1433,allow,out,tcp
schedule,schedule_ss_1434_out_tcp,ss,1434,allow,out,tcp
schedule,schedule_mdb_41862_in_tcp,mdb,41862,allow,in,tcp
schedule,schedule_mdb_4009_in_tcp,mdb,4009,allow,in,tcp
schedule,schedule_mdb_4010_in_tcp,mdb,4010,allow,in,tcp
schedule,schedule_mdb_445_in_tcp,mdb,445,allow,in,tcp
schedule,schedule_mdb_1433_out_tcp,mdb,1433,allow,out,tcp
schedule,schedule_mdb_1434_out_tcp,mdb,1434,allow,out,tcp
schedule,schedule_sdb_41862_in_tcp,sdb,41862,allow,in,tcp
schedule,schedule_sdb_4009_in_tcp,sdb,4009,allow,in,tcp
schedule,schedule_sdb_4010_in_tcp,sdb,4010,allow,in,tcp
schedule,schedule_sdb_445_in_tcp,sdb,445,allow,in,tcp
schedule,schedule_sdb_1433_out_tcp,sdb,1433,allow,out,tcp
schedule,schedule_sdb_1434_out_tcp,sdb,1434,allow,out,tcp
dbm,dbm_mdb_4007_in_tcp,mdb,4007,allow,in,tcp
dbm,dbm_sdb_4007_in_tcp,sdb,4007,allow,in,tcp
dbm,dbm_mdb_4008_in_tcp,mdb,4008,allow,in,tcp
dbm,dbm_mdb_445_in_tcp,mdb,445,allow,in,tcp
dbm,dbm_sdb_4008_in_tcp,sdb,4008,allow,in,tcp
dbm,dbm_sdb_445_in_tcp,sdb,445,allow,in,tcp
ingest,ingest_mvl_4093_in_tcp,mvl,4093,allow,in,tcp
dvlmgr,dvlmgr_mvl_4000_in_TCP,mvl,4000,allow,in,TCP
dvlmgr,dvlmgr_mvl_445_in_TCP,mvl,445,allow,in,TCP
dvlmgr,dvlmgr_mvl_4001_in_TCP,mvl,4001,allow,in,TCP
dvlmgr,dvlmgr_mvl_4002_in_TCP,mvl,4002,allow,in,TCP
dvlmgr,dvlmgr_mvl_445_in_TCP,mvl,445,allow,in,TCP
dvlmgr,dvlmgr_Inserter_4000_in_TCP,Inserter,4000,allow,in,TCP
dvlmgr,dvlmgr_Inserter_445_in_TCP,Inserter,445,allow,in,TCP
dvlserv,dvlserv_Inserter_4001_in_TCP,Inserter,4001,allow,in,TCP
dvlserv,dvlserv_Inserter_4002_in_TCP,Inserter,4002,allow,in,TCP
dvlserv,dvlserv_Inserter_445_in_TCP,Inserter,445,allow,in,TCP
dvlrul,dvlrul_mvl_4054_in_TCP,mvl,4054,allow,in,TCP
dvlrul,dvlrul_mvl_455_in_TCP,mvl,455,allow,in,TCP
dvlrul,dvlrul_mvl_445_in_TCP,mvl,445,allow,in,TCP
dvlutil,dvlutil_mvl_445_in_TCP,mvl,445,allow,in,TCP
dvlutil,dvlutil_tti_2897_in_TCP,tti,2897,allow,in,TCP
dvlutil,dvlutil_tti_4088_in_TCP,tti,4088,allow,in,TCP
dvlutil,dvlutil_tti_4089_in_TCP,tti,4089,allow,in,TCP
dvlutil,dvlutil_tti_445_in_TCP,tti,445,allow,in,TCP
dvlutil,dvlutil_tti_445_in_TCP,tti,445,allow,in,TCP
sdvlc,sdvlc_ Inserter_2890_in_TCP, Inserter,2890,allow,in,TCP
sdvlc,sdvlc_ Inserter_4003_in_TCP, Inserter,4003,allow,in,TCP
sdvlc,sdvlc_ Inserter_4004_in_TCP, Inserter,4004,allow,in,TCP
sdvlc,sdvlc_ Inserter_445_in_TCP, Inserter,445,allow,in,TCP
sdvls,sdvls_Inserter_2891_in_TCP,Inserter,2891,allow,in,TCP
sdvls,sdvls_Inserter_4004_in_TCP,Inserter,4004,allow,in,TCP
sdvls,sdvls_Inserter_4005_in_TCP,Inserter,4005,allow,in,TCP
sdvls,sdvls_Inserter_445_in_TCP,Inserter,445,allow,in,TCP
gpi,gpi_Inserter_2897_in_TCP,Inserter,2897,allow,in,TCP
gpi,gpi_Inserter_4088_in_TCP,Inserter,4088,allow,in,TCP
gpi,gpi_Inserter_4089_in_TCP,Inserter,4089,allow,in,TCP
gpi,gpi_Inserter_445_in_TCP,Inserter,445,allow,in,TCP
tonescraper,tonescraper_Inserter_445_in_TCP,Inserter,445,allow,in,TCP
ha,ha_mdb_9000_in_TCP,mdb,9000,allow,in,TCP
